epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8893,0.65386,0.47779,0.97882,0.93827,0.95403,0.97285,0.85626,0.49787,0.38972,0.88317,0.00058,0.00058,0.00058
2,25.1288,0.63348,0.44098,0.97132,0.95993,0.93338,0.98313,0.85046,0.56714,0.42147,0.88073,0.00116832,0.00116832,0.00116832
3,35.3126,0.65064,0.45098,0.9821,0.94121,0.93556,0.97571,0.85599,0.56298,0.44886,0.90801,0.00174476,0.00174476,0.00174476
4,46.1745,0.6612,0.45309,0.96887,0.90559,0.95503,0.97385,0.85348,0.53286,0.43774,0.89284,0.0019406,0.0019406,0.0019406
5,56.1732,0.65096,0.45365,0.96948,0.93489,0.94805,0.97986,0.87003,0.53006,0.41415,0.8896,0.0019208,0.0019208,0.0019208
6,66.3036,0.67,0.45683,0.97622,0.93337,0.93994,0.97611,0.84878,0.54995,0.44926,0.90352,0.001901,0.001901,0.001901
7,76.909,0.64688,0.43986,0.97191,0.93353,0.94239,0.9735,0.83344,0.56014,0.49218,0.91628,0.0018812,0.0018812,0.0018812
8,87.5191,0.65553,0.44969,0.9752,0.92159,0.96669,0.97815,0.8456,0.57099,0.44367,0.92194,0.0018614,0.0018614,0.0018614
9,97.8746,0.64673,0.4494,0.96978,0.92544,0.96753,0.97714,0.84531,0.5607,0.42095,0.90928,0.0018416,0.0018416,0.0018416
10,109.366,0.64653,0.4438,0.9697,0.9367,0.92883,0.96822,0.83783,0.60949,0.4615,0.94968,0.0018218,0.0018218,0.0018218
11,120.176,0.64967,0.44975,0.97091,0.94163,0.92641,0.96946,0.83985,0.57942,0.4583,0.91411,0.001802,0.001802,0.001802
12,131.191,0.64207,0.43571,0.96473,0.92376,0.94589,0.97452,0.84276,0.5771,0.4571,0.91998,0.0017822,0.0017822,0.0017822
13,139.86,0.64207,0.42685,0.97261,0.9152,0.95671,0.97678,0.84585,0.59438,0.45195,0.92618,0.0017624,0.0017624,0.0017624
14,151.066,0.64826,0.43514,0.96946,0.94922,0.91775,0.97122,0.8436,0.58167,0.4527,0.9186,0.0017426,0.0017426,0.0017426
