epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,40.4877,0.80347,0.69372,1.03976,0.86994,0.94334,0.92428,0.74233,0.74032,0.72926,0.96528,0.0011882,0.0011882,0.0011882
43,41.3362,0.81262,0.73118,1.04141,0.89359,0.89744,0.90772,0.70618,0.82728,0.75581,1.0065,0.0011684,0.0011684,0.0011684
44,42.1944,0.78286,0.67296,1.01252,0.9097,0.90415,0.93459,0.71762,0.84575,0.75054,1.03308,0.0011486,0.0011486,0.0011486
45,43.0385,0.79126,0.70476,1.03654,0.91739,0.91026,0.95922,0.76042,0.76332,0.70241,0.98467,0.0011288,0.0011288,0.0011288
46,43.9891,0.78111,0.71138,1.02715,0.9182,0.92308,0.96525,0.76067,0.77583,0.67958,0.99114,0.001109,0.001109,0.001109
47,44.9242,0.84681,0.7045,1.04582,0.93084,0.92308,0.96616,0.72845,0.92068,0.69758,1.03894,0.0010892,0.0010892,0.0010892
48,45.8166,0.80051,0.67509,1.02158,0.95972,0.91633,0.96528,0.68934,1.08804,0.71788,1.09653,0.0010694,0.0010694,0.0010694
49,46.6857,0.74696,0.63646,1.01224,0.9579,0.92308,0.96611,0.69541,1.05693,0.70402,1.07226,0.0010496,0.0010496,0.0010496
50,47.5324,0.73986,0.64058,1.00785,0.91104,0.91909,0.9551,0.72998,0.91048,0.69484,1.0057,0.0010298,0.0010298,0.0010298
51,48.3925,0.72668,0.62016,0.98714,0.89113,0.91026,0.94708,0.72414,0.94173,0.74278,1.01653,0.00101,0.00101,0.00101
52,49.261,0.74367,0.6348,1.01208,0.87682,0.92308,0.94615,0.73918,0.87087,0.71596,0.99348,0.0009902,0.0009902,0.0009902
53,50.1358,0.76406,0.67036,1.01278,0.89967,0.91974,0.96084,0.78522,0.7706,0.67672,0.96974,0.0009704,0.0009704,0.0009704
54,50.9982,0.69387,0.59598,0.96593,0.91068,0.91507,0.96974,0.82606,0.67608,0.63832,0.94282,0.0009506,0.0009506,0.0009506
55,51.8572,0.75034,0.65625,1.01019,0.93273,0.92308,0.97996,0.82426,0.72761,0.61338,0.95311,0.0009308,0.0009308,0.0009308
56,52.709,0.67814,0.59536,0.97643,0.96034,0.93132,0.98544,0.83422,0.63937,0.5474,0.93697,0.000911,0.000911,0.000911
