epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0861,1.21171,2.29311,1.25889,0.56687,0.70474,0.6775,0.3981,1.10754,2.35446,1.06467,0.00058,0.00058,0.00058
2,24.4185,1.08195,1.22486,1.21992,0.73451,0.76915,0.78857,0.4831,1.16026,1.4584,1.20539,0.00116832,0.00116832,0.00116832
3,34.9232,1.05669,1.03222,1.19888,0.81733,0.83893,0.86848,0.51128,1.25538,1.16101,1.28443,0.00174476,0.00174476,0.00174476
4,44.9737,1.05639,0.96525,1.17365,0.71303,0.80388,0.7747,0.42711,1.40261,1.3373,1.38225,0.0019406,0.0019406,0.0019406
5,54.9655,1.01594,0.94052,1.16267,0.81738,0.80172,0.82968,0.532,1.14592,1.1501,1.21181,0.0019208,0.0019208,0.0019208
6,64.9582,0.99556,0.88512,1.15198,0.84024,0.83405,0.8788,0.64067,0.91579,1.01176,1.09467,0.001901,0.001901,0.001901
7,74.9713,0.9862,0.8573,1.14287,0.80093,0.88447,0.88591,0.62324,1.05193,1.03354,1.13759,0.0018812,0.0018812,0.0018812
8,85.1698,0.94166,0.82398,1.11496,0.80352,0.79957,0.83341,0.58911,1.05396,1.14734,1.12554,0.0018614,0.0018614,0.0018614
9,95.4476,0.91638,0.79953,1.10217,0.73413,0.77363,0.76818,0.53545,1.07913,1.20368,1.20972,0.0018416,0.0018416,0.0018416
10,107.079,0.90521,0.78983,1.10554,0.81943,0.90958,0.90713,0.70762,0.79364,0.86058,1.04846,0.0018218,0.0018218,0.0018218
11,116.733,0.90801,0.75631,1.09409,0.88468,0.87631,0.91981,0.68085,0.91869,0.83455,1.07584,0.001802,0.001802,0.001802
12,126.853,0.88557,0.73507,1.08135,0.87393,0.88578,0.91465,0.64406,1.03436,0.83096,1.09941,0.0017822,0.0017822,0.0017822
13,136.745,0.93016,0.76013,1.10887,0.86119,0.92241,0.94119,0.68682,0.99219,0.80681,1.08996,0.0017624,0.0017624,0.0017624
14,146.811,0.86395,0.7149,1.08611,0.86809,0.85129,0.90806,0.64051,1.03549,0.85375,1.11708,0.0017426,0.0017426,0.0017426
15,156.823,0.86088,0.69998,1.07017,0.83781,0.89061,0.9278,0.71795,0.81018,0.82055,1.03232,0.0017228,0.0017228,0.0017228
16,167.153,0.83045,0.68103,1.05867,0.85401,0.91164,0.92966,0.72519,0.83425,0.77232,1.02663,0.001703,0.001703,0.001703
17,177.02,0.86522,0.70298,1.08985,0.88695,0.90086,0.94649,0.75956,0.77477,0.67532,1.02434,0.0016832,0.0016832,0.0016832
18,186.923,0.8377,0.66634,1.06081,0.88474,0.93534,0.94636,0.76121,0.76883,0.64836,0.99726,0.0016634,0.0016634,0.0016634
19,196.956,0.83035,0.64486,1.05808,0.87978,0.89899,0.9188,0.67724,0.99134,0.78974,1.10719,0.0016436,0.0016436,0.0016436
20,207.477,0.80859,0.63547,1.04575,0.89424,0.91595,0.94504,0.73294,0.80454,0.67531,1.02505,0.0016238,0.0016238,0.0016238
21,217.953,0.83802,0.64227,1.06529,0.87782,0.94612,0.94701,0.74245,0.80895,0.64915,1.02737,0.001604,0.001604,0.001604
22,227.913,0.82715,0.62581,1.05059,0.88959,0.89655,0.93755,0.73312,0.80748,0.70852,1.02618,0.0015842,0.0015842,0.0015842
23,237.933,0.81002,0.62874,1.05309,0.8971,0.92071,0.95351,0.75935,0.76412,0.6664,0.99694,0.0015644,0.0015644,0.0015644
24,247.916,0.81903,0.62424,1.05241,0.91764,0.90302,0.96063,0.77401,0.75058,0.64337,0.98952,0.0015446,0.0015446,0.0015446
25,257.803,0.80373,0.60529,1.03533,0.89288,0.93413,0.95915,0.78266,0.69993,0.64677,0.97411,0.0015248,0.0015248,0.0015248
26,268.139,0.78853,0.59785,1.03594,0.89772,0.90802,0.94986,0.75209,0.80018,0.61441,1.01139,0.001505,0.001505,0.001505
27,278.391,0.78525,0.57864,1.0322,0.91825,0.92457,0.96221,0.77505,0.74732,0.57344,0.99104,0.0014852,0.0014852,0.0014852
28,289.163,0.77341,0.59149,1.03978,0.88309,0.89534,0.93689,0.75032,0.77757,0.68669,1.03126,0.0014654,0.0014654,0.0014654
29,299.4,0.77415,0.58634,1.03763,0.88,0.90948,0.94808,0.77986,0.71099,0.61913,0.96252,0.0014456,0.0014456,0.0014456
30,309.477,0.77211,0.59042,1.03036,0.89972,0.92813,0.95568,0.77582,0.6908,0.56534,0.98589,0.0014258,0.0014258,0.0014258
31,319.574,0.76563,0.55972,1.02136,0.89775,0.92721,0.95815,0.72468,0.89799,0.62731,1.03125,0.001406,0.001406,0.001406
32,330.637,0.77694,0.56392,1.02636,0.86271,0.93444,0.93988,0.74217,0.73785,0.63884,0.98858,0.0013862,0.0013862,0.0013862
33,343.769,0.76414,0.56753,1.02785,0.8907,0.93078,0.95922,0.79017,0.69162,0.57781,0.98097,0.0013664,0.0013664,0.0013664
34,355.004,0.75559,0.53738,1.02178,0.90203,0.91595,0.94679,0.76997,0.70337,0.6183,0.97053,0.0013466,0.0013466,0.0013466
35,367.129,0.77328,0.54966,1.02362,0.89749,0.94347,0.96732,0.81109,0.65908,0.55439,0.94954,0.0013268,0.0013268,0.0013268
36,378.003,0.72629,0.53718,1.00486,0.915,0.93966,0.96232,0.79913,0.66779,0.53094,0.95659,0.001307,0.001307,0.001307
37,388.833,0.75268,0.54085,1.01941,0.92997,0.91164,0.95992,0.79644,0.66241,0.5256,0.96178,0.0012872,0.0012872,0.0012872
38,399.898,0.74145,0.53935,1.01867,0.90709,0.9181,0.95819,0.79518,0.66336,0.53719,0.99575,0.0012674,0.0012674,0.0012674
39,410.967,0.76132,0.54635,1.03207,0.90674,0.92196,0.9637,0.79492,0.67284,0.54802,0.981,0.0012476,0.0012476,0.0012476
40,421.81,0.76542,0.54254,1.02181,0.91307,0.91379,0.95395,0.77435,0.68883,0.55874,0.99527,0.0012278,0.0012278,0.0012278
41,432.87,0.7389,0.54732,1.01793,0.90352,0.95259,0.95319,0.79604,0.63713,0.55133,0.9656,0.001208,0.001208,0.001208
42,444.303,0.71106,0.51471,0.99964,0.90234,0.95585,0.96343,0.805,0.67993,0.53792,0.97575,0.0011882,0.0011882,0.0011882
43,455.498,0.73015,0.51671,1.00845,0.91697,0.9181,0.96594,0.81874,0.62816,0.51871,0.95191,0.0011684,0.0011684,0.0011684
44,465.932,0.69125,0.49786,0.98833,0.91661,0.91595,0.96303,0.79629,0.67249,0.55475,0.97272,0.0011486,0.0011486,0.0011486
45,476.911,0.70618,0.49952,0.99488,0.92991,0.90733,0.96034,0.78215,0.70827,0.5564,0.98351,0.0011288,0.0011288,0.0011288
46,488.016,0.72756,0.52335,1.01786,0.89712,0.9181,0.95408,0.79179,0.68441,0.56316,0.99469,0.001109,0.001109,0.001109
47,498.478,0.74412,0.52017,1.0202,0.93224,0.91922,0.97022,0.82745,0.61576,0.52342,0.94942,0.0010892,0.0010892,0.0010892
48,509.892,0.71934,0.5104,1.00749,0.94854,0.91361,0.97024,0.82516,0.6253,0.48976,0.94112,0.0010694,0.0010694,0.0010694
49,520.426,0.70138,0.49157,0.99795,0.91472,0.92463,0.97026,0.81743,0.64642,0.49907,0.94236,0.0010496,0.0010496,0.0010496
50,531.233,0.72445,0.50555,1.00063,0.91748,0.9105,0.95558,0.80088,0.64468,0.55389,0.95751,0.0010298,0.0010298,0.0010298
51,542.295,0.71216,0.49608,0.99653,0.92487,0.92863,0.96026,0.81142,0.62389,0.52504,0.94204,0.00101,0.00101,0.00101
52,552.633,0.71057,0.49347,1.00234,0.92017,0.94398,0.96649,0.81718,0.63603,0.49388,0.9517,0.0009902,0.0009902,0.0009902
53,563.525,0.69694,0.48681,0.99392,0.91655,0.91379,0.95383,0.7927,0.68466,0.5496,0.95564,0.0009704,0.0009704,0.0009704
54,575.851,0.70872,0.4972,0.99653,0.92422,0.91379,0.96348,0.81224,0.62844,0.49591,0.95427,0.0009506,0.0009506,0.0009506
55,586.915,0.68573,0.48399,0.98195,0.92001,0.942,0.96718,0.81701,0.62013,0.49563,0.96015,0.0009308,0.0009308,0.0009308
56,597.827,0.6654,0.44867,0.97212,0.9215,0.96142,0.96861,0.78731,0.72641,0.48259,0.97595,0.000911,0.000911,0.000911
57,609.103,0.68705,0.4713,0.98835,0.91395,0.93846,0.96694,0.81505,0.62452,0.49464,0.93828,0.0008912,0.0008912,0.0008912
58,620.748,0.67828,0.47556,0.98105,0.90787,0.93451,0.96605,0.82512,0.6058,0.53129,0.93671,0.0008714,0.0008714,0.0008714
59,631.795,0.67863,0.48097,0.984,0.92497,0.92241,0.96858,0.81077,0.63391,0.51397,0.96847,0.0008516,0.0008516,0.0008516
60,642.976,0.67563,0.47739,0.98261,0.92085,0.9375,0.97197,0.81329,0.63773,0.50547,0.96391,0.0008318,0.0008318,0.0008318
61,654.37,0.6614,0.46069,0.9704,0.90964,0.95465,0.97115,0.82546,0.61764,0.47443,0.95067,0.000812,0.000812,0.000812
62,665.56,0.66686,0.45806,0.97728,0.91873,0.9258,0.96637,0.81212,0.67225,0.51518,0.98203,0.0007922,0.0007922,0.0007922
63,676.078,0.68388,0.46801,0.99393,0.9388,0.92573,0.97046,0.83317,0.60094,0.47469,0.93573,0.0007724,0.0007724,0.0007724
64,687.24,0.67119,0.45612,0.9828,0.93154,0.94181,0.97469,0.82903,0.63084,0.46465,0.93034,0.0007526,0.0007526,0.0007526
65,698.393,0.66771,0.45124,0.98034,0.90552,0.95905,0.97563,0.83445,0.61235,0.45405,0.93826,0.0007328,0.0007328,0.0007328
66,709.4,0.63752,0.43863,0.96856,0.91591,0.939,0.9669,0.82348,0.61937,0.47164,0.9388,0.000713,0.000713,0.000713
67,719.669,0.64503,0.4439,0.96768,0.90812,0.9569,0.96642,0.81571,0.62521,0.49916,0.94261,0.0006932,0.0006932,0.0006932
68,730.683,0.6561,0.44918,0.97683,0.91285,0.94397,0.96658,0.8201,0.62657,0.49241,0.94779,0.0006734,0.0006734,0.0006734
69,741.363,0.65125,0.43513,0.96599,0.93026,0.92457,0.96646,0.81598,0.61439,0.49478,0.96279,0.0006536,0.0006536,0.0006536
70,752.705,0.64373,0.43971,0.96893,0.90644,0.94181,0.96885,0.83663,0.58671,0.49018,0.93889,0.0006338,0.0006338,0.0006338
71,764.763,0.65913,0.45391,0.97875,0.90762,0.95281,0.97025,0.83752,0.59047,0.47609,0.92722,0.000614,0.000614,0.000614
72,773.715,0.61491,0.42013,0.94936,0.89963,0.94658,0.96428,0.82673,0.60823,0.49679,0.94221,0.0005942,0.0005942,0.0005942
73,785.006,0.63249,0.42755,0.96677,0.94092,0.92671,0.96163,0.79645,0.65433,0.46001,0.97854,0.0005744,0.0005744,0.0005744
74,795.636,0.62268,0.43404,0.95896,0.91483,0.94908,0.95764,0.81697,0.59911,0.48859,0.93554,0.0005546,0.0005546,0.0005546
75,806.733,0.63809,0.4322,0.97094,0.93286,0.93966,0.96582,0.82468,0.61017,0.46493,0.92059,0.0005348,0.0005348,0.0005348
76,817.539,0.60236,0.41541,0.94846,0.92347,0.93625,0.97523,0.81757,0.63273,0.44965,0.94756,0.000515,0.000515,0.000515
77,829.092,0.62928,0.42708,0.96127,0.92195,0.94828,0.9723,0.83185,0.59879,0.46591,0.94107,0.0004952,0.0004952,0.0004952
78,839.371,0.62307,0.41859,0.95361,0.90832,0.93319,0.97284,0.82894,0.60393,0.46497,0.9556,0.0004754,0.0004754,0.0004754
