epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4842,1.1866,1.23604,1.31176,0.84987,0.80203,0.88599,0.63422,1.16762,0.98475,1.29058,0.000662309,0.000662309,0.000662309
2,93.835,1.05791,0.85024,1.22607,0.8519,0.83517,0.90608,0.6421,1.14867,0.94785,1.26908,0.00131582,0.00131582,0.00131582
3,140.183,1.02183,0.81212,1.20125,0.87185,0.85997,0.9195,0.64858,1.12073,0.88508,1.22952,0.00195613,0.00195613,0.00195613
4,185.765,1.01739,0.79308,1.20191,0.86832,0.8544,0.92432,0.69942,1.0022,0.83138,1.18287,0.0019406,0.0019406,0.0019406
5,234.389,0.99024,0.75691,1.17226,0.87335,0.88985,0.93721,0.69634,1.04416,0.76462,1.17638,0.0019208,0.0019208,0.0019208
6,24266.1,0.97879,0.74771,1.17433,0.86153,0.86096,0.92663,0.68268,1.03242,0.84966,1.18524,0.001901,0.001901,0.001901
7,24287.3,0.98472,0.73837,1.17456,0.89802,0.89975,0.94683,0.7153,0.97176,0.70599,1.15999,0.0018812,0.0018812,0.0018812
