epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.399,0.69815,0.48932,0.99537,0.90436,0.94564,0.96339,0.79374,0.67921,0.50605,0.97377,0.0011882,0.0011882,0.0011882
43,176.446,0.72557,0.49843,1.00917,0.91382,0.92609,0.96728,0.80191,0.67166,0.53346,0.98011,0.0011684,0.0011684,0.0011684
44,180.543,0.67689,0.48654,0.98599,0.90522,0.91304,0.9451,0.77117,0.72192,0.56745,1.00756,0.0011486,0.0011486,0.0011486
45,184.608,0.69031,0.48081,0.99017,0.90262,0.93913,0.97077,0.81566,0.663,0.4953,0.98441,0.0011288,0.0011288,0.0011288
46,188.71,0.73166,0.5008,1.02064,0.91055,0.93913,0.96848,0.79932,0.68147,0.52824,1.01086,0.001109,0.001109,0.001109
47,192.768,0.73292,0.49855,1.01279,0.9115,0.94033,0.96649,0.80895,0.63241,0.48889,0.98406,0.0010892,0.0010892,0.0010892
48,196.866,0.6962,0.48504,0.99489,0.92406,0.92591,0.96834,0.81456,0.65312,0.49229,0.95802,0.0010694,0.0010694,0.0010694
49,200.928,0.67737,0.4653,0.98724,0.93499,0.93801,0.97252,0.81506,0.66652,0.48277,0.9773,0.0010496,0.0010496,0.0010496
50,205.018,0.69742,0.4685,0.98876,0.90387,0.94029,0.95491,0.79605,0.65337,0.50282,0.98132,0.0010298,0.0010298,0.0010298
51,209.032,0.70453,0.47563,0.9956,0.92099,0.93765,0.9716,0.81829,0.65558,0.49145,0.96884,0.00101,0.00101,0.00101
52,213.19,0.71689,0.4804,1.0054,0.91857,0.93043,0.96429,0.81503,0.64731,0.50288,0.97505,0.0009902,0.0009902,0.0009902
53,217.208,0.70145,0.47178,0.99542,0.90549,0.93727,0.96663,0.8116,0.66032,0.47767,0.97279,0.0009704,0.0009704,0.0009704
54,221.426,0.68847,0.47378,0.98548,0.92357,0.91957,0.96086,0.81368,0.61946,0.47279,0.96168,0.0009506,0.0009506,0.0009506
55,225.496,0.65904,0.44814,0.97376,0.88923,0.94236,0.9613,0.82169,0.59597,0.50545,0.95525,0.0009308,0.0009308,0.0009308
56,229.625,0.65845,0.43449,0.96976,0.8966,0.94256,0.96577,0.79542,0.69311,0.50783,0.96033,0.000911,0.000911,0.000911
57,233.736,0.67803,0.44833,0.98633,0.90153,0.93696,0.95244,0.78776,0.66263,0.4965,0.95536,0.0008912,0.0008912,0.0008912
58,237.838,0.66992,0.46142,0.9814,0.88712,0.93965,0.95872,0.80708,0.64422,0.53213,0.96128,0.0008714,0.0008714,0.0008714
59,241.923,0.66497,0.456,0.97994,0.91948,0.93261,0.96467,0.81792,0.6158,0.47707,0.95138,0.0008516,0.0008516,0.0008516
60,245.966,0.65408,0.45018,0.97751,0.93231,0.93043,0.97356,0.8239,0.62502,0.46318,0.96686,0.0008318,0.0008318,0.0008318
61,249.982,0.64565,0.44289,0.96898,0.90811,0.94783,0.9716,0.82844,0.62058,0.4552,0.96452,0.000812,0.000812,0.000812
62,254.103,0.64448,0.43883,0.97295,0.89927,0.91211,0.95076,0.79058,0.66413,0.54195,0.97753,0.0007922,0.0007922,0.0007922
63,258.183,0.66867,0.45744,0.98408,0.91522,0.93913,0.96141,0.82042,0.6049,0.46927,0.93959,0.0007724,0.0007724,0.0007724
64,262.353,0.66517,0.44371,0.97853,0.90985,0.95,0.96399,0.81687,0.63628,0.47249,0.94027,0.0007526,0.0007526,0.0007526
65,266.387,0.63909,0.42882,0.96971,0.92633,0.92938,0.96947,0.82098,0.6239,0.46891,0.94917,0.0007328,0.0007328,0.0007328
66,270.42,0.61466,0.41905,0.96335,0.90208,0.94348,0.9642,0.82082,0.62013,0.46684,0.95146,0.000713,0.000713,0.000713
67,274.551,0.63189,0.42451,0.96558,0.9391,0.92391,0.96348,0.81889,0.63646,0.47738,0.94903,0.0006932,0.0006932,0.0006932
68,278.602,0.63591,0.42534,0.97025,0.90582,0.94086,0.96379,0.81763,0.64106,0.49049,0.95163,0.0006734,0.0006734,0.0006734
69,282.617,0.62554,0.41659,0.9607,0.91949,0.93696,0.96685,0.82308,0.62027,0.46824,0.9534,0.0006536,0.0006536,0.0006536
70,286.651,0.63006,0.42325,0.96542,0.93708,0.95217,0.97346,0.85013,0.57221,0.42569,0.93377,0.0006338,0.0006338,0.0006338
71,290.679,0.65197,0.43871,0.97501,0.9317,0.94893,0.97195,0.83901,0.59998,0.43987,0.93481,0.000614,0.000614,0.000614
72,294.698,0.61948,0.40669,0.95266,0.90981,0.96522,0.96164,0.80178,0.66098,0.46942,0.96383,0.0005942,0.0005942,0.0005942
73,298.714,0.62847,0.41541,0.96343,0.91757,0.94783,0.96822,0.82109,0.62104,0.45414,0.94313,0.0005744,0.0005744,0.0005744
74,302.805,0.6125,0.41543,0.95505,0.92276,0.93478,0.96946,0.8218,0.61038,0.46278,0.96007,0.0005546,0.0005546,0.0005546
75,306.874,0.62656,0.41561,0.96403,0.90528,0.95575,0.97025,0.8147,0.66501,0.46331,0.96655,0.0005348,0.0005348,0.0005348
76,310.928,0.59361,0.39988,0.9465,0.90526,0.96522,0.96707,0.81532,0.65383,0.45949,0.97302,0.000515,0.000515,0.000515
77,314.974,0.61569,0.41284,0.95672,0.92912,0.94348,0.96925,0.82364,0.6166,0.46151,0.96299,0.0004952,0.0004952,0.0004952
78,319.156,0.60718,0.40541,0.95049,0.92136,0.96304,0.97325,0.83506,0.59729,0.43844,0.94873,0.0004754,0.0004754,0.0004754
79,323.168,0.5856,0.38675,0.94366,0.91019,0.9587,0.97436,0.82156,0.62289,0.45941,0.96193,0.0004556,0.0004556,0.0004556
80,327.25,0.59238,0.38315,0.94397,0.94247,0.92598,0.97304,0.83446,0.59732,0.45019,0.94865,0.0004358,0.0004358,0.0004358
81,331.311,0.61621,0.41204,0.9633,0.94603,0.91462,0.97588,0.82765,0.62282,0.44638,0.95706,0.000416,0.000416,0.000416
82,335.393,0.59764,0.3965,0.9447,0.8948,0.96151,0.96858,0.82752,0.61881,0.46158,0.95746,0.0003962,0.0003962,0.0003962
83,339.483,0.60872,0.40932,0.96163,0.90265,0.97391,0.97291,0.8322,0.62502,0.43643,0.94897,0.0003764,0.0003764,0.0003764
84,343.566,0.61697,0.40596,0.95999,0.91813,0.94565,0.96789,0.82706,0.5999,0.44788,0.95694,0.0003566,0.0003566,0.0003566
85,347.597,0.60652,0.40847,0.95982,0.91183,0.96679,0.972,0.83861,0.57723,0.42358,0.9362,0.0003368,0.0003368,0.0003368
86,351.648,0.57668,0.38171,0.94502,0.93256,0.93182,0.9719,0.84152,0.58803,0.42932,0.94553,0.000317,0.000317,0.000317
87,355.695,0.57264,0.3802,0.94712,0.90125,0.95229,0.96735,0.83185,0.59913,0.44453,0.95374,0.0002972,0.0002972,0.0002972
88,359.871,0.57708,0.37894,0.94228,0.91909,0.94565,0.97167,0.83418,0.59891,0.43101,0.94271,0.0002774,0.0002774,0.0002774
89,363.937,0.57594,0.38619,0.94036,0.92671,0.94783,0.97232,0.83085,0.62086,0.4421,0.95392,0.0002576,0.0002576,0.0002576
90,368.042,0.57013,0.38561,0.94563,0.94033,0.93478,0.96931,0.83117,0.61369,0.44372,0.94432,0.0002378,0.0002378,0.0002378
91,391.915,0.4979,0.35011,0.88486,0.93657,0.93089,0.95816,0.80379,0.62935,0.45152,0.96163,0.000218,0.000218,0.000218
92,395.793,0.47484,0.31578,0.87061,0.94267,0.92826,0.96559,0.82817,0.59432,0.41445,0.94949,0.0001982,0.0001982,0.0001982
93,399.631,0.46418,0.30048,0.86509,0.93221,0.94783,0.96825,0.83241,0.58746,0.42108,0.95032,0.0001784,0.0001784,0.0001784
94,403.507,0.45824,0.29163,0.86786,0.94712,0.94783,0.97271,0.82756,0.60606,0.4026,0.94926,0.0001586,0.0001586,0.0001586
95,407.349,0.45327,0.29129,0.86421,0.94678,0.94783,0.97298,0.83416,0.58786,0.41196,0.94277,0.0001388,0.0001388,0.0001388
96,411.208,0.44004,0.28498,0.85545,0.93353,0.95,0.96949,0.83449,0.58754,0.42066,0.93954,0.000119,0.000119,0.000119
97,415.124,0.427,0.2756,0.85751,0.94922,0.93466,0.96996,0.8368,0.57896,0.41144,0.93197,9.92e-05,9.92e-05,9.92e-05
98,419.077,0.44076,0.27819,0.86334,0.94494,0.93261,0.97087,0.83715,0.57896,0.41474,0.93279,7.94e-05,7.94e-05,7.94e-05
99,422.985,0.43022,0.27775,0.857,0.93784,0.9413,0.97186,0.83934,0.57507,0.41083,0.93445,5.96e-05,5.96e-05,5.96e-05
100,427.02,0.42186,0.26997,0.85783,0.93965,0.94778,0.97319,0.84151,0.57611,0.40808,0.93411,3.98e-05,3.98e-05,3.98e-05
